got 13 samples| raw_EDA=8.7381 μS | HR=87.5 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.7353 μS | HR=87.5 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.7332 μS | HR=87.5 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.7377 μS | HR=87.5 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.7329 μS | HR=87.5 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.7294 μS | HR=87.5 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.7370 μS | HR=87.5 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.7384 μS | HR=87.5 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.7350 μS | HR=88.4 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.7350 μS | HR=88.4 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.7374 μS | HR=88.4 BPM | RMSSD=— ms
got 12 samples| raw_EDA=8.7360 μS | HR=88.4 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.7360 μS | HR=88.4 BPM | RMSSD=— ms
got 12 samples| raw_EDA=8.7357 μS | HR=88.4 BPM | RMSSD=— ms
got 12 samples| raw_EDA=8.7308 μS | HR=88.4 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.7353 μS | HR=88.4 BPM | RMSSD=— ms
got 12 samples| raw_EDA=8.7308 μS | HR=88.4 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.7325 μS | HR=88.4 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.7350 μS | HR=89.2 BPM | RMSSD=— ms
got 12 samples| raw_EDA=8.7357 μS | HR=89.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.7325 μS | HR=89.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.7325 μS | HR=89.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.7280 μS | HR=89.2 BPM | RMSSD=— ms
got 12 samples| raw_EDA=8.7499 μS | HR=89.3 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.7325 μS | HR=89.3 BPM | RMSSD=— ms
got 12 samples| raw_EDA=8.7322 μS | HR=89.3 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.7343 μS | HR=89.3 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.7332 μS | HR=89.3 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.7225 μS | HR=90.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.7083 μS | HR=90.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.6986 μS | HR=90.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.7027 μS | HR=90.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.7010 μS | HR=90.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.7027 μS | HR=91.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.7093 μS | HR=91.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.7148 μS | HR=91.2 BPM | RMSSD=— ms
got 14 samples| raw_EDA=8.7173 μS | HR=91.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.7145 μS | HR=91.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.7114 μS | HR=91.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.7135 μS | HR=91.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.7145 μS | HR=91.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.7135 μS | HR=91.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.7211 μS | HR=91.2 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.7107 μS | HR=92.0 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.7138 μS | HR=92.0 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.7145 μS | HR=92.0 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.7128 μS | HR=92.0 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.7117 μS | HR=92.0 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.7152 μS | HR=92.1 BPM | RMSSD=— ms
got 12 samples| raw_EDA=8.7204 μS | HR=92.1 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.7183 μS | HR=92.1 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.7183 μS | HR=92.1 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.6920 μS | HR=92.1 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.6722 μS | HR=92.8 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.6528 μS | HR=92.8 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.6316 μS | HR=92.8 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.6132 μS | HR=92.8 BPM | RMSSD=— ms
got 14 samples| raw_EDA=8.5921 μS | HR=92.8 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.5643 μS | HR=92.8 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.5421 μS | HR=92.8 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.5317 μS | HR=92.8 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.5033 μS | HR=92.8 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.4880 μS | HR=92.8 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.4745 μS | HR=93.5 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.4610 μS | HR=93.5 BPM | RMSSD=— ms
got 12 samples| raw_EDA=8.4478 μS | HR=93.5 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.4392 μS | HR=93.5 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.4392 μS | HR=93.5 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.4398 μS | HR=93.5 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.4398 μS | HR=93.5 BPM | RMSSD=— ms
got 12 samples| raw_EDA=8.4423 μS | HR=93.5 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.4454 μS | HR=93.5 BPM | RMSSD=— ms
got 12 samples| raw_EDA=8.4496 μS | HR=93.5 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.4485 μS | HR=93.7 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.4482 μS | HR=93.7 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.4430 μS | HR=93.7 BPM | RMSSD=— ms
got 12 samples| raw_EDA=8.4457 μS | HR=93.7 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.4450 μS | HR=93.7 BPM | RMSSD=— ms
got 14 samples| raw_EDA=8.4353 μS | HR=93.7 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.4305 μS | HR=93.7 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.4159 μS | HR=93.7 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.4024 μS | HR=93.7 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.3847 μS | HR=93.7 BPM | RMSSD=— ms
got 14 samples| raw_EDA=8.3681 μS | HR=93.7 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.3507 μS | HR=93.7 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.3438 μS | HR=93.7 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.3410 μS | HR=93.7 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.3355 μS | HR=93.7 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.3275 μS | HR=93.7 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.3157 μS | HR=93.7 BPM | RMSSD=— ms
got 14 samples| raw_EDA=8.3077 μS | HR=93.7 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.2935 μS | HR=93.7 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.2800 μS | HR=93.7 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.2758 μS | HR=93.3 BPM | RMSSD=— ms
got 14 samples| raw_EDA=8.2717 μS | HR=93.3 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.2678 μS | HR=93.3 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.2706 μS | HR=93.3 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.2730 μS | HR=93.3 BPM | RMSSD=— ms
got 14 samples| raw_EDA=8.2848 μS | HR=93.3 BPM | RMSSD=— ms
got 14 samples| raw_EDA=8.2893 μS | HR=93.3 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.2855 μS | HR=93.3 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.2862 μS | HR=93.3 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.3018 μS | HR=93.3 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.3192 μS | HR=93.1 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.3268 μS | HR=93.1 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.3271 μS | HR=93.1 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.3344 μS | HR=93.1 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.3382 μS | HR=93.1 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.3438 μS | HR=93.1 BPM | RMSSD=— ms
got 14 samples| raw_EDA=8.3410 μS | HR=93.1 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.3417 μS | HR=93.1 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.3476 μS | HR=93.1 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.3521 μS | HR=93.1 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.3590 μS | HR=92.7 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.3556 μS | HR=92.7 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.3583 μS | HR=92.7 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.3570 μS | HR=92.7 BPM | RMSSD=— ms
got 13 samples| raw_EDA=8.3629 μS | HR=92.7 BPM | RMSSD=— ms
