got 13 samples| raw_EDA=21.1612 μS | HR=92.4 BPM | RMSSD=— ms
got 13 samples| raw_EDA=21.1515 μS | HR=92.4 BPM | RMSSD=— ms
got 13 samples| raw_EDA=21.1584 μS | HR=92.4 BPM | RMSSD=— ms
got 13 samples| raw_EDA=21.1626 μS | HR=92.5 BPM | RMSSD=— ms
got 13 samples| raw_EDA=21.1639 μS | HR=92.5 BPM | RMSSD=— ms
got 13 samples| raw_EDA=21.1473 μS | HR=92.5 BPM | RMSSD=— ms
got 13 samples| raw_EDA=21.1376 μS | HR=92.5 BPM | RMSSD=— ms
got 13 samples| raw_EDA=21.1306 μS | HR=92.5 BPM | RMSSD=— ms
got 13 samples| raw_EDA=21.1182 μS | HR=92.5 BPM | RMSSD=— ms
got 13 samples| raw_EDA=21.1085 μS | HR=92.5 BPM | RMSSD=— ms
got 13 samples| raw_EDA=21.1057 μS | HR=92.5 BPM | RMSSD=— ms
got 13 samples| raw_EDA=21.0765 μS | HR=92.5 BPM | RMSSD=— ms
got 13 samples| raw_EDA=21.0710 μS | HR=92.5 BPM | RMSSD=— ms
got 13 samples| raw_EDA=21.0627 μS | HR=92.7 BPM | RMSSD=— ms
got 13 samples| raw_EDA=21.0460 μS | HR=92.7 BPM | RMSSD=— ms
got 13 samples| raw_EDA=21.0391 μS | HR=92.7 BPM | RMSSD=— ms
got 13 samples| raw_EDA=21.0294 μS | HR=92.7 BPM | RMSSD=— ms
got 12 samples| raw_EDA=21.0169 μS | HR=92.7 BPM | RMSSD=— ms
got 13 samples| raw_EDA=21.0072 μS | HR=92.7 BPM | RMSSD=— ms
got 13 samples| raw_EDA=20.9947 μS | HR=92.7 BPM | RMSSD=— ms
got 13 samples| raw_EDA=20.9905 μS | HR=92.7 BPM | RMSSD=— ms
got 13 samples| raw_EDA=20.9753 μS | HR=92.7 BPM | RMSSD=— ms
got 13 samples| raw_EDA=20.9656 μS | HR=92.7 BPM | RMSSD=— ms
got 13 samples| raw_EDA=20.9670 μS | HR=92.5 BPM | RMSSD=— ms
got 13 samples| raw_EDA=20.9586 μS | HR=92.5 BPM | RMSSD=— ms
got 13 samples| raw_EDA=20.9489 μS | HR=92.5 BPM | RMSSD=— ms
got 13 samples| raw_EDA=20.9475 μS | HR=92.5 BPM | RMSSD=— ms
got 13 samples| raw_EDA=20.9392 μS | HR=92.5 BPM | RMSSD=— ms
got 13 samples| raw_EDA=20.9337 μS | HR=92.5 BPM | RMSSD=— ms
got 13 samples| raw_EDA=20.9295 μS | HR=92.5 BPM | RMSSD=— ms
got 13 samples| raw_EDA=20.9267 μS | HR=92.5 BPM | RMSSD=— ms
got 13 samples| raw_EDA=20.9101 μS | HR=92.5 BPM | RMSSD=— ms
got 13 samples| raw_EDA=20.9129 μS | HR=92.5 BPM | RMSSD=— ms
