# OpenSignals Text File Format. Version 1
# {"00:07:80:0F:31:9C": {"position": 0, "device": "biosignalsplux", "device name": "00:07:80:0F:31:9C", "device connection": "00:07:80:0F:31:9C", "sampling rate": 200, "resolution": [16, 16], "firmware version": 775, "comments": "", "keywords": "", "mode": 0, "sync interval": 2, "date": "2026-5-25", "time": "17:21:52.776", "channels": [1, 2], "sensor": ["EDA", "ECG"], "label": ["CH1", "CH2"], "column": ["nSeq", "DI", "CH1", "CH2"], "special": [{"SpO2": [80, 40, 5, 4, 3, 3]}, {"SpO2": [80, 40, 5, 4, 3, 3]}, {"SpO2": [80, 40, 5, 4, 3, 3]}, {"SpO2": [80, 40, 5, 4, 3, 3]}, {"SpO2": [80, 40, 5, 4, 3, 3]}, {"SpO2": [80, 40, 5, 4, 3, 3]}, {"SpO2": [80, 40, 5, 4, 3, 3]}, {"SpO2": [80, 40, 5, 4, 3, 3]}], "digital IO": [0, 1], "sleeve color": ["red", "dark_blue"], "convertedValues": 0}}
# EndOfHeader
0	0	14004	33130	
1	0	14012	33159	
2	0	14008	33358	
3	0	14008	32946	
4	0	14004	32968	
5	0	14009	33186	
6	0	14008	33048	
7	0	14001	32824	
8	0	14002	33006	
9	0	14009	33141	
10	0	14008	33239	
11	0	14000	32965	
12	0	14000	33023	
13	0	14008	33028	
14	0	14010	32972	
15	0	14000	32917	
16	0	14000	33008	
17	0	14002	33280	
18	0	14008	33222	
19	0	14000	33086	
20	0	13998	32937	
21	0	14001	33050	
22	0	14005	32928	
23	0	13998	32775	
24	0	14001	32872	
25	0	14002	33391	
26	0	14009	33053	
27	0	14002	32797	
28	0	14000	32911	
29	0	14003	32934	
30	0	14008	32931	
31	0	14004	32828	
32	0	13996	32881	
33	0	14008	33010	
34	0	14006	33020	
35	0	14000	32700	
36	0	13996	32756	
37	0	14005	33031	
38	0	14005	32860	
39	0	14002	32775	
40	0	13996	32593	
41	0	14002	32928	
42	0	14006	32684	
43	0	14002	32429	
44	0	14001	32766	
45	0	14006	32836	
46	0	14008	33004	
47	0	14002	32763	
48	0	14008	32682	
49	0	14012	32560	
50	0	14009	32496	
51	0	14004	31878	
52	0	14004	31822	
53	0	14005	32388	
54	0	14008	32338	
55	0	14004	32425	
56	0	14000	32701	
57	0	14008	33141	
58	0	14008	33105	
59	0	14005	32964	
60	0	13997	33159	
61	0	14008	33255	
62	0	14008	33141	
63	0	14002	33028	
64	0	13994	32791	
65	0	14000	33316	
66	0	14006	33062	
67	0	13996	32834	
68	0	13996	33208	
69	0	14006	33502	
70	0	14010	33844	
71	0	14004	32876	
72	0	14009	30720	
73	0	14020	28068	
74	0	14025	26577	
75	0	14018	25884	
76	0	14020	27311	
77	0	14016	29703	
78	0	14008	32609	
79	0	13996	35332	
80	0	13992	35820	
81	0	14000	35657	
82	0	14001	35072	
83	0	13996	34816	
84	0	13996	34339	
85	0	14002	33983	
86	0	14001	33620	
87	0	13998	33180	
88	0	13996	33382	
89	0	14006	33360	
90	0	14004	33260	
91	0	13996	33132	
92	0	13997	33112	
93	0	14000	33055	
94	0	14006	33116	
95	0	14000	32892	
96	0	13999	32913	
97	0	14005	33159	
98	0	14009	32965	
99	0	14000	32842	
100	0	14000	32751	
101	0	14008	32992	
102	0	14008	32812	
103	0	14004	32462	
104	0	14001	32721	
105	0	14006	32772	
106	0	14008	32676	
107	0	14002	32348	
108	0	14001	32566	
109	0	14010	32687	
110	0	14010	32390	
111	0	14004	32263	
112	0	14006	32330	
113	0	14008	32426	
114	0	14010	32178	
115	0	14004	31914	
116	0	14001	31943	
117	0	14010	32007	
118	0	14012	31834	
119	0	14004	31588	
120	0	14004	31596	
121	0	14008	31847	
122	0	14012	31601	
123	0	14008	31527	
124	0	14008	31564	
125	0	14016	31992	
126	0	14014	32007	
127	0	14006	31740	
128	0	14004	32004	
129	0	14012	32230	
130	0	14012	32173	
131	0	14008	32085	
132	0	14009	32470	
133	0	14012	32874	
134	0	14016	32828	
135	0	14005	33031	
136	0	14008	33203	
137	0	14014	33436	
138	0	14008	33468	
139	0	14008	33204	
140	0	14005	33393	
141	0	14008	33536	
142	0	14010	33670	
143	0	14006	33212	
144	0	14008	33444	
145	0	14010	33612	
146	0	14008	33455	
147	0	14006	33180	
148	0	14004	33266	
149	0	14009	33668	
150	0	14016	33437	
151	0	14006	33238	
152	0	14005	33222	
153	0	14008	33455	
154	0	14011	33372	
155	0	14004	32935	
156	0	14006	33220	
157	0	14013	33228	
158	0	14008	33100	
159	0	14002	32993	
160	0	14008	33042	
161	0	14010	33059	
162	0	14016	33016	
163	0	14008	32814	
164	0	14006	32870	
165	0	14012	32956	
166	0	14012	33114	
167	0	14009	32775	
168	0	14002	32932	
169	0	14008	33046	
170	0	14008	32974	
171	0	14004	32698	
172	0	14004	32894	
173	0	14010	33159	
174	0	14006	33100	
175	0	14004	32708	
176	0	14000	32831	
177	0	14008	33031	
178	0	14008	33009	
179	0	14000	32762	
180	0	14002	32896	
181	0	14010	33048	
182	0	14008	33121	
183	0	14008	32911	
184	0	14002	32878	
185	0	14010	33260	
186	0	14012	33014	
187	0	14004	32698	
188	0	14005	32923	
189	0	14008	32921	
190	0	14013	32994	
191	0	14006	32660	
192	0	14004	32710	
193	0	14008	32995	
194	0	14010	32966	
195	0	14004	32556	
196	0	14004	32796	
197	0	14010	32866	
198	0	14010	32855	
199	0	14000	32775	
200	0	14002	32758	
201	0	14014	32856	
202	0	14008	32820	
203	0	14004	32583	
204	0	14002	32639	
205	0	14008	32665	
206	0	14012	32548	
207	0	14008	32519	
208	0	14004	32793	
209	0	14012	32775	
210	0	14012	32767	
211	0	14008	32359	
212	0	14008	32486	
213	0	14013	32127	
214	0	14012	32020	
215	0	14010	32070	
216	0	14008	32338	
217	0	14012	32647	
218	0	14012	32775	
219	0	14004	32991	
220	0	14008	32969	
221	0	14012	33066	
222	0	14012	33125	
223	0	14002	32893	
224	0	14005	32994	
225	0	14009	33128	
226	0	14010	33056	
227	0	14004	32763	
228	0	14004	32860	
229	0	14010	33376	
230	0	14012	33207	
231	0	14008	33127	
232	0	14009	33421	
233	0	14014	32895	
234	0	14024	30193	
235	0	14020	27204	
236	0	14025	26168	
237	0	14032	25884	
238	0	14028	27461	
239	0	14016	29671	
240	0	14013	33382	
241	0	14010	35736	
242	0	14006	35524	
243	0	13998	35133	
244	0	14000	35040	
245	0	14004	34731	
246	0	14004	34101	
247	0	14000	33735	
248	0	14006	33671	
249	0	14012	33608	
250	0	14008	33148	
251	0	14008	33248	
252	0	14006	33159	
253	0	14012	33198	
254	0	14013	33031	
255	0	14009	32860	
256	0	14008	33018	
257	0	14014	32989	
258	0	14009	32928	
259	0	14000	32820	
260	0	14008	32797	
261	0	14012	33127	
262	0	14012	32929	
263	0	14005	32540	
264	0	14010	32859	
265	0	14012	32980	
266	0	14010	32852	
267	0	14008	32672	
268	0	14008	32465	
269	0	14016	32545	
270	0	14016	32487	
271	0	14010	32440	
272	0	14010	32533	
273	0	14016	32506	
274	0	14016	32406	
275	0	14011	32007	
276	0	14008	32044	
277	0	14020	32372	
278	0	14016	32177	
279	0	14016	31872	
280	0	14012	31567	
281	0	14016	31855	
282	0	14016	31799	
283	0	14012	31541	
284	0	14012	31693	
285	0	14019	31790	
286	0	14022	31784	
287	0	14012	31601	
288	0	14013	31653	
289	0	14020	32263	
290	0	14020	31985	
291	0	14014	32094	
292	0	14010	32238	
293	0	14016	32469	
294	0	14016	32593	
295	0	14014	32513	
296	0	14010	32973	
297	0	14020	33240	
298	0	14018	33237	
299	0	14010	33114	
300	0	14014	33414	
301	0	14018	33478	
302	0	14018	33378	
303	0	14010	33223	
304	0	14012	33311	
305	0	14016	33655	
306	0	14016	33479	
307	0	14012	33338	
308	0	14013	33308	
309	0	14018	33389	
310	0	14019	33373	
311	0	14012	33198	
312	0	14012	33540	
313	0	14017	33468	
314	0	14020	33247	
315	0	14012	33031	
316	0	14016	33287	
317	0	14017	33328	
318	0	14020	33298	
319	0	14012	32970	
320	0	14012	33190	
321	0	14020	33061	
322	0	14017	33055	
323	0	14012	32863	
324	0	14017	33054	
325	0	14020	33200	
326	0	14014	33084	
327	0	14014	32836	
328	0	14016	32941	
329	0	14020	33223	
330	0	14024	32908	
331	0	14012	32852	
332	0	14012	32888	
333	0	14022	33113	
334	0	14020	33099	
335	0	14010	32726	
336	0	14016	33025	
337	0	14020	32965	
338	0	14016	33055	
339	0	14012	32860	
340	0	14016	32941	
341	0	14018	33030	
342	0	14021	33040	
343	0	14010	32748	
344	0	14014	32895	
345	0	14017	32959	
346	0	14018	32908	
347	0	14008	32721	
348	0	14016	32775	
349	0	14022	33043	
350	0	14016	33057	
351	0	14012	32647	
352	0	14014	32884	
353	0	14016	32826	
354	0	14018	32869	
355	0	14008	32510	
356	0	14010	32763	
357	0	14020	32884	
358	0	14016	32775	
359	0	14011	32586	
360	0	14010	32686	
361	0	14018	32722	
362	0	14016	32664	
363	0	14014	32293	
364	0	14014	32775	
365	0	14022	32792	
366	0	14016	32652	
367	0	14010	32460	
368	0	14013	32486	
369	0	14020	32500	
370	0	14021	32764	
371	0	14013	32449	
372	0	14017	32747	
373	0	14024	32898	
374	0	14022	32515	
375	0	14014	32052	
376	0	14016	32134	
377	0	14024	32263	
378	0	14019	32661	
379	0	14012	32163	
380	0	14015	32870	
381	0	14020	33300	
382	0	14024	33196	
383	0	14012	32834	
384	0	14017	33168	
385	0	14020	33376	
386	0	14016	33283	
387	0	14014	33052	
388	0	14012	33175	
389	0	14016	33439	
390	0	14016	33271	
391	0	14012	32906	
392	0	14010	33263	
393	0	14019	33344	
394	0	14020	33783	
395	0	14016	32916	
396	0	14020	31156	
397	0	14028	28167	
398	0	14036	26468	
399	0	14028	25910	
400	0	14032	27015	
401	0	14032	29440	
402	0	14020	32785	
403	0	14008	35352	
404	0	14006	35640	
405	0	14008	35706	
406	0	14012	35303	
407	0	14004	34615	
408	0	14002	34423	
409	0	14016	33968	
410	0	14014	33496	
411	0	14009	33403	
412	0	14010	33075	
413	0	14014	33372	
414	0	14018	33202	
415	0	14008	32871	
416	0	14008	33287	
417	0	14012	33481	
418	0	14018	32972	
419	0	14008	32794	
420	0	14014	32943	
421	0	14016	33076	
422	0	14016	32876	
423	0	14008	32519	
424	0	14014	32657	
425	0	14016	32741	
426	0	14017	32728	
427	0	14008	32287	
428	0	14016	32620	
429	0	14016	32613	
430	0	14020	32489	
431	0	14012	32476	
432	0	14010	32469	
433	0	14016	32612	
434	0	14016	32471	
435	0	14008	32183	
436	0	14012	32293	
437	0	14022	32174	
438	0	14018	32167	
439	0	14012	31900	
440	0	14014	31951	
441	0	14018	31902	
442	0	14021	31719	
443	0	14014	31521	
444	0	14016	31612	
445	0	14026	31495	
446	0	14020	31495	
447	0	14014	31370	
448	0	14016	31872	
449	0	14020	31678	
450	0	14024	31780	
451	0	14016	31542	
452	0	14013	31766	
453	0	14016	32109	
454	0	14022	32221	
455	0	14018	32196	
456	0	14016	32298	
457	0	14013	32684	
458	0	14016	32726	
459	0	14013	32724	
460	0	14016	32966	
461	0	14016	33086	
462	0	14016	33494	
463	0	14013	33287	
464	0	14016	33340	
465	0	14017	33571	
466	0	14016	33376	
467	0	14008	33092	
468	0	14010	33556	
469	0	14017	33391	
470	0	14018	33469	
471	0	14008	33116	
472	0	14010	33221	
473	0	14016	33522	
474	0	14014	33344	
475	0	14008	32956	
476	0	14012	33217	
477	0	14012	33269	
478	0	14012	33157	
479	0	14012	33063	
480	0	14016	33308	
481	0	14016	33236	
482	0	14016	33095	
483	0	14008	33047	
484	0	14014	33165	
485	0	14016	32972	
486	0	14016	32861	
487	0	14010	32871	
488	0	14010	32775	
489	0	14016	32947	
490	0	14018	32918	
491	0	14004	32556	
492	0	14008	32809	
493	0	14014	32948	
494	0	14017	32752	
495	0	14006	32552	
496	0	14008	32946	
497	0	14016	32988	
498	0	14012	32964	
499	0	14008	32559	
500	0	14013	32817	
501	0	14012	32813	
502	0	14012	32893	
503	0	14008	32833	
504	0	14008	32919	
505	0	14012	32934	
506	0	14018	32775	
507	0	14008	32748	
508	0	14008	32805	
509	0	14012	32967	
510	0	14010	32730	
511	0	14006	32702	
512	0	14012	32771	
513	0	14018	33014	
514	0	14012	32807	
515	0	14008	32558	
516	0	14004	32742	
517	0	14010	32967	
518	0	14018	32727	
519	0	14008	32548	
520	0	14009	32816	
521	0	14012	32884	
522	0	14014	32700	
523	0	14008	32336	
524	0	14010	32439	
525	0	14013	32753	
526	0	14012	32883	
527	0	14010	32708	
528	0	14012	32743	
529	0	14016	32559	
530	0	14016	32346	
531	0	14008	32071	
532	0	14014	32017	
533	0	14017	32060	
534	0	14016	32232	
535	0	14008	32431	
536	0	14008	32726	
537	0	14012	33188	
538	0	14014	33159	
539	0	14006	32973	
540	0	14004	33231	
541	0	14015	33355	
542	0	14013	33047	
543	0	14004	32918	
544	0	14008	33126	
545	0	14010	33323	
546	0	14012	33031	
547	0	14006	32820	
548	0	14010	33073	
549	0	14016	33348	
550	0	14012	33618	
551	0	14008	32853	
552	0	14014	30855	
553	0	14026	27784	
554	0	14032	26016	
555	0	14026	25268	
556	0	14025	26749	
557	0	14020	29976	
558	0	14012	33344	
559	0	14002	35764	
560	0	14004	35936	
561	0	14006	35910	
562	0	14004	35548	
563	0	14004	34623	
564	0	14006	34197	
565	0	14012	34154	
566	0	14008	33583	
567	0	14005	33421	
568	0	14006	33209	
569	0	14012	33244	
570	0	14009	33423	
571	0	14008	33016	
572	0	14008	33159	
573	0	14013	33031	
574	0	14016	32933	
575	0	14006	32817	
576	0	14008	32975	
577	0	14014	33182	
578	0	14012	32810	
579	0	14008	32599	
580	0	14008	32840	
581	0	14012	32788	
582	0	14013	32873	
583	0	14009	32519	
584	0	14008	32673	
585	0	14014	32903	
586	0	14020	32734	
587	0	14008	32384	
588	0	14012	32442	
589	0	14016	32615	
590	0	14016	32510	
591	0	14011	32288	
592	0	14014	32317	
593	0	14020	32372	
594	0	14016	32164	
595	0	14010	31894	
596	0	14014	31980	
597	0	14020	31879	
598	0	14018	31885	
599	0	14012	31495	
600	0	14012	31751	
601	0	14020	31524	
602	0	14018	31735	
603	0	14010	31630	
604	0	14016	31676	
605	0	14020	31894	
606	0	14020	31872	
607	0	14012	31751	
608	0	14016	31889	
609	0	14022	32156	
610	0	14020	32376	
611	0	14009	32044	
612	0	14016	32608	
613	0	14016	33063	
614	0	14016	32933	
615	0	14013	32846	
616	0	14012	33215	
617	0	14020	33543	
618	0	14016	33514	
619	0	14012	33282	
620	0	14012	33358	
621	0	14020	33487	
622	0	14016	33374	
623	0	14012	33409	
624	0	14012	33642	
625	0	14020	33494	
626	0	14018	33407	
627	0	14010	33396	
628	0	14014	33415	
629	0	14016	33428	
630	0	14023	33561	
631	0	14016	33255	
632	0	14012	33287	
633	0	14022	33324	
634	0	14022	33254	
635	0	14012	32950	
636	0	14012	33139	
637	0	14020	33196	
638	0	14020	33026	
639	0	14016	33070	
640	0	14019	33224	
641	0	14021	33111	
642	0	14021	32909	
643	0	14012	32666	
644	0	14016	33047	
645	0	14018	33311	
646	0	14024	32995	
647	0	14012	32743	
648	0	14014	33004	
649	0	14020	33080	
650	0	14020	32936	
651	0	14012	32718	
652	0	14016	32969	
653	0	14016	33020	
654	0	14020	32956	
655	0	14013	32589	
656	0	14020	33071	
657	0	14018	33063	
658	0	14025	32948	
659	0	14016	32701	
660	0	14018	32917	
661	0	14019	33092	
662	0	14024	32897	
663	0	14011	32837	
664	0	14016	32847	
665	0	14024	33008	
666	0	14019	33124	
667	0	14016	32628	
668	0	14018	32812	
669	0	14024	32980	
670	0	14024	32801	
671	0	14017	32424	
672	0	14020	32548	
673	0	14022	32667	
674	0	14025	32948	
675	0	14020	32667	
676	0	14024	32902	
677	0	14026	32851	
678	0	14028	32633	
679	0	14020	32004	
680	0	14026	31957	
681	0	14025	32390	
682	0	14024	32444	
683	0	14020	32407	
684	0	14024	32930	
685	0	14020	33116	
686	0	14022	33260	
687	0	14016	33152	
688	0	14018	33204	
689	0	14020	33462	
690	0	14020	32856	
691	0	14013	33007	
692	0	14016	33216	
693	0	14024	33239	
694	0	14020	33204	
695	0	14016	32898	
696	0	14016	33278	
697	0	14018	33368	
698	0	14020	33634	
699	0	14017	32910	
700	0	14028	30894	
701	0	14036	28010	
702	0	14040	26135	
703	0	14034	25477	
704	0	14036	27093	
705	0	14032	29801	
706	0	14020	33253	
707	0	14012	35836	
708	0	14012	36007	
709	0	14016	35788	
710	0	14010	35335	
711	0	14009	34709	
712	0	14014	34394	
713	0	14018	34175	
714	0	14020	33744	
715	0	14013	33137	
716	0	14016	33306	
717	0	14020	33391	
718	0	14024	33118	
719	0	14012	33031	
720	0	14017	33280	
721	0	14021	33041	
722	0	14024	32977	
723	0	14016	32828	
724	0	14016	32860	
725	0	14024	33107	
726	0	14028	32894	
727	0	14017	32829	
728	0	14024	32903	
729	0	14025	32996	
730	0	14024	32708	
731	0	14020	32455	
732	0	14020	32647	
733	0	14028	32638	
734	0	14024	32732	
735	0	14024	32421	
736	0	14020	32628	
737	0	14029	32348	
738	0	14028	32361	
739	0	14024	32312	
740	0	14021	32330	
741	0	14032	32176	
742	0	14030	32054	
743	0	14024	32034	
744	0	14024	31994	
745	0	14032	31936	
746	0	14032	31562	
747	0	14024	31371	
748	0	14028	31644	
749	0	14032	31732	
750	0	14034	31576	
751	0	14026	31384	
752	0	14030	31702	
753	0	14034	31884	
754	0	14030	31830	
755	0	14028	31734	
756	0	14026	31981	
757	0	14032	32192	
758	0	14030	32308	
759	0	14024	32253	
760	0	14022	32736	
761	0	14030	32998	
762	0	14030	33159	
763	0	14021	32954	
764	0	14028	33332	
765	0	14036	33563	
766	0	14032	33407	
767	0	14026	33447	
768	0	14024	33400	
769	0	14030	33727	
770	0	14032	33484	
771	0	14024	33287	
772	0	14028	33573	
773	0	14032	33678	
774	0	14030	33511	
775	0	14020	33304	
776	0	14030	33505	
777	0	14028	33391	
778	0	14033	33476	
779	0	14028	33242	
780	0	14029	33344	
781	0	14034	33287	
782	0	14034	33412	
783	0	14028	32942	
784	0	14029	33104	
785	0	14032	33310	
786	0	14033	33129	
787	0	14020	32865	
788	0	14030	33004	
789	0	14036	32977	
790	0	14030	33019	
791	0	14024	32735	
792	0	14030	33144	
793	0	14028	33264	
794	0	14032	32892	
795	0	14020	32672	
796	0	14025	32954	
797	0	14032	33234	
798	0	14032	33007	
799	0	14026	32762	
800	0	14024	33031	
801	0	14029	33031	
802	0	14032	32991	
803	0	14024	32647	
804	0	14028	32990	
805	0	14032	32994	
806	0	14025	32991	
807	0	14026	32724	
808	0	14028	33059	
809	0	14028	33015	
810	0	14031	32942	
811	0	14020	32684	
812	0	14026	32766	
813	0	14032	32789	
814	0	14028	32815	
815	0	14024	32448	
816	0	14028	32865	
817	0	14033	33172	
818	0	14030	32796	
819	0	14030	32306	
820	0	14030	32369	
821	0	14032	32387	
822	0	14032	32036	
823	0	14024	31831	
824	0	14026	32550	
825	0	14032	32598	
826	0	14034	32868	
827	0	14024	32942	
828	0	14026	33007	
829	0	14028	33279	
830	0	14028	33346	
831	0	14020	33063	
832	0	14024	33222	
